Question,Answer 1,Answer 2,Answer 3,Answer 4,Correct Answer Index,Explanation
What is the primary goal of Information Security (InfoSec)?,To make systems faster and more user-friendly,To safeguard information and systems from unauthorized access or damage,To replace all manual processes with automation,,2,"InfoSec focuses on protecting data and systems from being viewed, changed, or destroyed by unauthorized parties."
"In the module, newcomers to cybersecurity are compared to someone sitting in what?",A racing car ready to start a Grand Prix,A fighter jet cockpit without knowing the controls,A submarine about to dive deep underwater,,2,The module uses the fighter jet cockpit analogy to explain why a theoretical overview is needed before hands-on practice.
Which statement best describes the 'Client' in the simplified digital world diagram?,A data center that hosts virtual machines,A PC or laptop that accesses resources and services on the Internet,A server that stores web applications,,2,The client is the end-user device (like a PC or laptop) used to access online resources.
What is the Internet described as in this module?,A single huge computer that stores all websites,A vast interconnected network of servers offering services and applications,A private network accessible only by governments,,2,The Internet is depicted as a large network of servers providing different online services and apps.
What is the role of a server in the context of the module?,To provide various services and applications for specific tasks,To replace client devices entirely,To act only as backup storage for data,,1,"Servers host and provide specific services, such as web servers serving website content."
What is a 'network' according to the text?,A collection of mobile phones connected via Bluetooth,Multiple servers or computers connected and able to communicate with each other,A backup copy of important files stored offline,,2,A network exists when several devices are connected and can exchange data.
How is 'cloud' defined in the module?,A personal hard drive connected to the Internet,Data centers that offer interconnected servers for companies and individuals,A secure Wi‑Fi network at home,,2,Cloud refers to large data centers providing pooled servers and resources as services.
Which team is primarily responsible for defending a company against cyber attacks?,Blue Team,Red Team,Purple Team,,1,The Blue Team focuses on internal security and defense against cyber attacks.
Which team simulates real-world attacks against the company?,Red Team,Blue Team,Compliance Team,,1,"The Red Team behaves like an adversary, simulating attacks to test defenses."
What characterizes the Purple Team in the module?,It only audits financial transactions,It consists of a mix of Blue Team and Red Team members working together,It manages the company’s marketing campaigns,,2,Purple Teaming combines offensive (Red) and defensive (Blue) expertise to improve security.
What trend is described by the term 'digital transformation'?,Moving more services and systems online,Switching from laptops to smartphones,Shutting down legacy online services,,1,Digital transformation is the shift of more services and processes into online and digital environments.
What is a key risk of digital transformation mentioned in the module?,Decreased convenience for users,Increased opportunities for cyber attacks,Reduced dependence on the Internet,,2,"As more services move online, attackers have more potential targets and paths to exploit."
"In the castle analogy, what does the 'treasure' represent?",The company’s physical buildings,Your valuable data and information,The employees working in IT,,2,The treasure stands for sensitive and valuable information that needs protection.
"In the castle analogy, what do the 'castle walls' represent?",The HR department and its policies,"Firewalls, defensive mechanisms, and encryption",The office’s physical security guards,,2,Castle walls symbolize technical defenses such as firewalls and encryption that keep outsiders out.
"In the castle analogy, who are the 'guards'?",Security protocols and access controls monitoring entry and exit,External auditors visiting once a year,Marketing staff promoting the business,,1,The guards are the rules and mechanisms that control who can access systems and data.
"According to the analogy, penetration testers are compared to which character?",Kings managing the kingdom’s economy,Knights testing the castle’s defenses by simulating attacks,Villagers bringing supplies to the castle,,2,Penetration testers are like knights who probe the castle’s defenses to find weak spots.
Which of the following best captures why InfoSec is necessary in the digital age?,Information has become a critical and valuable asset that must be protected,Internet connections are becoming slower over time,Companies are no longer using physical offices,,1,The value and sensitivity of digital information make strong security measures essential.
Which three core properties of data does InfoSec aim to ensure?,"Scalability, portability, and speed","Confidentiality, integrity, and availability","Usability, affordability, and design",,2,These three properties form the classic security triad InfoSec seeks to protect.
Which of the following is listed as an area of Information Security in the module?,Network Security,Graphic Design Security,Human Resources Security,,1,Network Security is one of the core domains protecting data as it moves across networks.
Which of these is another domain of Information Security mentioned in the text?,Music Streaming Security,Application Security,Sports Analytics Security,,2,Application Security focuses on securing software applications from vulnerabilities.
Which domain deals with planning for disruptions and keeping critical functions running?,Disaster Recovery and Business Continuity,Physical Security,Mobile Security,,1,This domain ensures organizations can recover from incidents and continue operations.
What does 'IoT Security' focus on protecting?,Traditional desktop computers only,Internet-connected devices such as sensors and smart gadgets,Only mobile banking applications,,2,"IoT Security is about securing the growing ecosystem of smart, connected devices."
How is a 'risk' defined in the module?,A harmless software feature,"The potential for a malicious event to cause damage, combining likelihood and impact",Any minor inconvenience users experience,,2,Risk reflects the chance and possible severity of harmful events affecting assets.
What is a 'threat' according to the text?,A weakness in a system waiting to be fixed,A potential cause of an incident that could harm a system or organization,A backup copy of critical data,,2,A threat is something (like an attacker or natural event) that could trigger a harmful incident.
How is a 'vulnerability' described in the module?,A weakness in a system that could be exploited by a threat,A scheduled security update,An automatic backup process,,1,Vulnerabilities are weaknesses such as bugs or misconfigurations that threats may exploit.
"Which of the following best summarizes the relationship between risk, threat, and vulnerability?","Risk, threat, and vulnerability are unrelated concepts","A threat exploits a vulnerability, and the potential damage from this forms the risk",Risk causes threats and removes vulnerabilities,,2,"The module explains that threats use vulnerabilities, and the outcome defines the risk level."
What is the primary responsibility of a Chief Information Security Officer (CISO)?,Programming all company firewalls,Overseeing the entire information security program and strategy,Writing every incident report personally,,2,The CISO sets and manages the overall security strategy for the organization.
Which role is mainly responsible for designing secure systems and networks?,Security Architect,Security Analyst,Compliance Specialist,,1,Security Architects design the secure infrastructure that others will implement and test.
Which role actively looks for and exploits vulnerabilities through simulated attacks?,Penetration Tester,Incident Response Specialist,Compliance Specialist,,1,Penetration testers legally and ethically attempt to exploit weaknesses to improve security.
Which role manages and responds to security incidents as they occur?,Incident Response Specialist,CISO,Front-end Developer,,1,Incident Response Specialists handle active security incidents and coordinate the response.
Which role monitors systems for threats and analyzes security data?,Security Analyst,Graphic Designer,Network Customer Support,,1,Security Analysts keep watch over systems and analyze data to detect suspicious activity.
What is a key task of a Compliance Specialist in InfoSec?,Creating new programming languages,Ensuring adherence to security standards and regulations,Writing user interface guidelines,,2,Compliance Specialists focus on meeting regulations and using reports (including pen tests) as evidence.
